date,canton,daily_tested,ncumul_tested,daily_conf,ncumul_conf,new_hosp,current_icu,current_vent,ncumul_released,daily_released,daily_deceased,ncumul_deceased,current_isolated,current_quarantined_total
2020-07-28,AG,,,16.0,1554.0,,2.0,,15.0,795.0,0.0,49.0,81.0,
2020-07-29,AG,,,11.0,1565.0,,3.0,,15.0,810.0,0.0,49.0,78.0,
2020-07-30,AG,,,23.0,1588.0,,3.0,,5.0,815.0,0.0,49.0,96.0,
2020-07-31,AG,,,10.0,1598.0,,3.0,,15.0,830.0,0.0,49.0,94.0,
2020-08-01,AG,,,16.0,1614.0,,,,5.0,835.0,1.0,50.0,,
2020-08-02,AG,,,2.0,1616.0,,,,5.0,840.0,0.0,50.0,,
2020-08-03,AG,,,5.0,1621.0,,5.0,,5.0,845.0,0.0,50.0,73.0,
2020-08-04,AG,,,15.0,1636.0,,5.0,,15.0,860.0,0.0,50.0,92.0,
2020-08-05,AG,,,16.0,1652.0,,4.0,,15.0,875.0,0.0,50.0,92.0,
2020-08-06,AG,,,18.0,1670.0,,4.0,,15.0,890.0,0.0,50.0,102.0,
2020-08-07,AG,,,10.0,1680.0,,4.0,,15.0,905.0,0.0,50.0,68.0,
2020-08-08,AG,,,8.0,1688.0,,,,5.0,910.0,0.0,50.0,,
2020-08-09,AG,,,3.0,1691.0,,,,5.0,915.0,0.0,50.0,68.0,
2020-08-10,AG,,,9.0,1700.0,,4.0,,5.0,920.0,0.0,50.0,103.0,
2020-08-11,AG,,,29.0,1729.0,,4.0,,15.0,935.0,0.0,50.0,116.0,
2020-08-12,AG,,,24.0,1753.0,,4.0,,5.0,940.0,0.0,50.0,138.0,
2020-08-13,AG,,,20.0,1773.0,,3.0,,25.0,965.0,0.0,50.0,145.0,
2020-08-14,AG,,,13.0,1786.0,,4.0,,10.0,975.0,0.0,50.0,138.0,
2020-08-15,AG,,,19.0,1805.0,,,,15.0,990.0,0.0,50.0,,
2020-08-16,AG,,,11.0,1816.0,,,,5.0,995.0,0.0,50.0,138.0,
2020-08-17,AG,,,9.0,1825.0,,2.0,,0.0,995.0,1.0,51.0,124.0,
2020-08-18,AG,,,27.0,1852.0,,1.0,,15.0,1010.0,0.0,51.0,137.0,
2020-08-19,AG,,,30.0,1882.0,,2.0,,20.0,1030.0,0.0,51.0,148.0,
2020-08-20,AG,,,15.0,1897.0,,2.0,,20.0,1050.0,0.0,51.0,136.0,
2020-08-21,AG,,,17.0,1914.0,,2.0,,10.0,1060.0,0.0,51.0,142.0,
2020-08-22,AG,,,19.0,1933.0,,,,10.0,1070.0,0.0,51.0,,
2020-08-23,AG,,,15.0,1948.0,,,,0.0,1070.0,1.0,52.0,142.0,
2020-08-24,AG,,,9.0,1957.0,,2.0,,10.0,1080.0,0.0,52.0,128.0,
2020-08-25,AG,,,29.0,1986.0,,2.0,,30.0,1110.0,0.0,52.0,143.0,
2020-08-26,AG,,,34.0,2020.0,,3.0,,20.0,1130.0,0.0,52.0,173.0,
2020-08-27,AG,,,27.0,2047.0,,3.0,,25.0,1155.0,0.0,52.0,151.0,
2020-08-28,AG,,,23.0,2070.0,,3.0,,10.0,1165.0,0.0,52.0,125.0,
2020-08-29,AG,,,23.0,2093.0,,,,20.0,1185.0,0.0,52.0,,
2020-08-30,AG,,,9.0,2102.0,,,,10.0,1195.0,0.0,52.0,125.0,
2020-08-31,AG,,,7.0,2109.0,,4.0,,10.0,1205.0,0.0,52.0,124.0,
2020-09-01,AG,,,18.0,2127.0,,4.0,,30.0,1235.0,0.0,52.0,116.0,
2020-09-02,AG,,,20.0,2147.0,,4.0,,30.0,1265.0,0.0,52.0,131.0,
2020-09-03,AG,,,27.0,2174.0,,5.0,,15.0,1280.0,0.0,52.0,116.0,
2020-09-04,AG,,,27.0,2201.0,,4.0,,15.0,1295.0,0.0,52.0,128.0,
2020-09-05,AG,,,20.0,2221.0,,,,20.0,1315.0,0.0,52.0,,
2020-09-06,AG,,,5.0,2226.0,,,,15.0,1330.0,0.0,52.0,,
2020-09-07,AG,,,15.0,2241.0,,3.0,,5.0,1335.0,0.0,52.0,145.0,
2020-09-08,AG,,,20.0,2261.0,,3.0,,30.0,1365.0,0.0,52.0,136.0,
2020-09-09,AG,,,19.0,2280.0,,3.0,,35.0,1400.0,0.0,52.0,155.0,
2020-09-10,AG,,,30.0,2310.0,,2.0,,25.0,1425.0,0.0,52.0,180.0,
2020-09-11,AG,,,19.0,2329.0,,3.0,,25.0,1450.0,1.0,53.0,189.0,
2020-09-12,AG,,,23.0,2352.0,,,,25.0,1475.0,0.0,53.0,,
2020-09-13,AG,,,13.0,2365.0,,,,5.0,1480.0,0.0,53.0,189.0,
2020-09-14,AG,,,7.0,2372.0,,1.0,,5.0,1485.0,0.0,53.0,193.0,
2020-09-15,AG,,,28.0,2400.0,,2.0,,15.0,1500.0,0.0,53.0,167.0,
2020-09-16,AG,,,37.0,2437.0,,2.0,,30.0,1530.0,0.0,53.0,174.0,
2020-09-17,AG,,,22.0,2459.0,,2.0,,25.0,1555.0,1.0,54.0,167.0,
2020-09-18,AG,,,28.0,2487.0,,2.0,,25.0,1580.0,0.0,54.0,151.0,
2020-09-19,AG,,,12.0,2499.0,,,,20.0,1600.0,0.0,54.0,,
2020-09-20,AG,,,14.0,2513.0,,,,5.0,1605.0,0.0,54.0,151.0,
2020-09-21,AG,,,10.0,2523.0,,2.0,,15.0,1620.0,0.0,54.0,137.0,
2020-09-22,AG,,,21.0,2544.0,,2.0,,20.0,1640.0,0.0,54.0,144.0,
2020-09-23,AG,,,15.0,2559.0,,2.0,,15.0,1655.0,0.0,54.0,156.0,
2020-09-24,AG,,,10.0,2569.0,,2.0,,35.0,1690.0,0.0,54.0,157.0,
2020-09-25,AG,,,17.0,2586.0,,2.0,,15.0,1705.0,0.0,54.0,153.0,
2020-09-26,AG,,,6.0,2592.0,,,,20.0,1725.0,0.0,54.0,105.0,
2020-09-27,AG,,,5.0,2597.0,,,,15.0,1740.0,0.0,54.0,,
2020-09-28,AG,,,6.0,2603.0,,2.0,,5.0,1745.0,1.0,55.0,105.0,
2020-09-29,AG,,,10.0,2613.0,,1.0,,30.0,1775.0,0.0,55.0,98.0,
2020-09-30,AG,,,18.0,2631.0,,1.0,,40.0,1815.0,0.0,55.0,84.0,
2020-10-01,AG,,,16.0,2647.0,,1.0,,20.0,1835.0,0.0,55.0,98.0,
2020-10-02,AG,,,16.0,2663.0,,2.0,,30.0,1865.0,0.0,55.0,96.0,
2020-10-03,AG,,,24.0,2687.0,,,,10.0,1875.0,0.0,55.0,,
2020-10-04,AG,,,10.0,2697.0,,,,15.0,1890.0,0.0,55.0,,
2020-10-05,AG,,,16.0,2713.0,,2.0,,10.0,1900.0,0.0,55.0,108.0,
2020-10-06,AG,,,43.0,2756.0,,2.0,,25.0,1925.0,0.0,55.0,123.0,
2020-10-07,AG,,,55.0,2811.0,,2.0,,15.0,1940.0,1.0,56.0,150.0,
2020-10-08,AG,,,58.0,2869.0,,2.0,,10.0,1950.0,0.0,56.0,167.0,
2020-10-09,AG,,,65.0,2934.0,,2.0,,10.0,1960.0,0.0,56.0,191.0,
2020-10-10,AG,,,63.0,2997.0,,,,10.0,1970.0,0.0,56.0,,
2020-10-11,AG,,,24.0,3021.0,,,,5.0,1975.0,0.0,56.0,,
2020-10-12,AG,,,45.0,3066.0,,1.0,,0.0,1975.0,0.0,56.0,180.0,
2020-10-13,AG,,,130.0,3196.0,,1.0,,5.0,1980.0,1.0,57.0,200.0,
2020-10-14,AG,,,142.0,3338.0,,1.0,,15.0,1995.0,1.0,58.0,223.0,
2020-10-15,AG,,,147.0,3485.0,,2.0,,15.0,2010.0,0.0,58.0,254.0,
2020-10-16,AG,,,156.0,3641.0,,2.0,,15.0,2025.0,0.0,58.0,231.0,
2020-10-17,AG,,,123.0,3764.0,,,,25.0,2050.0,0.0,58.0,293.0,
2020-10-18,AG,,,89.0,3853.0,,,,10.0,2060.0,0.0,58.0,312.0,
2020-10-19,AG,,,87.0,3940.0,,5.0,,5.0,2065.0,0.0,58.0,293.0,
2020-10-20,AG,,,258.0,4198.0,,7.0,,35.0,2100.0,0.0,58.0,312.0,
2020-10-21,AG,,,273.0,4471.0,,6.0,,60.0,2160.0,0.0,58.0,343.0,
2020-10-22,AG,,,269.0,4740.0,,8.0,,55.0,2215.0,1.0,59.0,386.0,
2020-10-23,AG,,,264.0,5004.0,,8.0,,55.0,2270.0,0.0,59.0,453.0,
2020-10-24,AG,,,324.0,5328.0,,,,65.0,2335.0,0.0,59.0,,
2020-10-25,AG,,,157.0,5485.0,,,,25.0,2360.0,0.0,59.0,,
2020-10-26,AG,,,280.0,5765.0,,9.0,,25.0,2385.0,1.0,60.0,680.0,
2020-10-27,AG,,,441.0,6206.0,,11.0,,115.0,2500.0,0.0,60.0,794.0,
2020-10-28,AG,,,460.0,6666.0,,11.0,,145.0,2645.0,6.0,66.0,796.0,
2020-10-29,AG,,,388.0,7054.0,,12.0,,140.0,2785.0,5.0,71.0,757.0,
2020-10-30,AG,,,389.0,7443.0,,13.0,,160.0,2945.0,1.0,72.0,990.0,
2020-10-31,AG,,,367.0,7810.0,,,,125.0,3070.0,5.0,77.0,,
2020-11-01,AG,,,285.0,8095.0,,,,90.0,3160.0,3.0,80.0,,
2020-11-02,AG,,,250.0,8345.0,,13.0,,50.0,3210.0,4.0,84.0,1685.0,
2020-11-03,AG,,,466.0,8811.0,,15.0,,245.0,3455.0,3.0,87.0,1608.0,
2020-11-04,AG,,,496.0,9307.0,,19.0,,270.0,3725.0,3.0,90.0,1809.0,
2020-11-05,AG,,,457.0,9764.0,,20.0,,270.0,3995.0,2.0,92.0,1850.0,
2020-11-06,AG,,,398.0,10162.0,,22.0,,265.0,4260.0,6.0,98.0,1900.0,
2020-11-07,AG,,,363.0,10525.0,,,,325.0,4585.0,2.0,100.0,,
2020-11-08,AG,,,131.0,10656.0,,,,155.0,4740.0,2.0,102.0,,
2020-11-09,AG,,,192.0,10848.0,,25.0,,275.0,5015.0,1.0,103.0,2100.0,
2020-11-10,AG,,,454.0,11302.0,,26.0,,430.0,5445.0,5.0,108.0,2250.0,
2020-11-11,AG,,,325.0,11627.0,,24.0,,470.0,5915.0,2.0,110.0,1660.0,
2020-11-12,AG,,,330.0,11957.0,,24.0,,395.0,6310.0,6.0,116.0,2122.0,
2020-11-13,AG,,,336.0,12293.0,,23.0,,380.0,6690.0,5.0,121.0,2343.0,
2020-11-14,AG,,,264.0,12557.0,,,,370.0,7060.0,3.0,124.0,,
2020-11-15,AG,,,103.0,12660.0,,,,285.0,7345.0,2.0,126.0,,
2020-11-16,AG,,,228.0,12888.0,,27.0,,230.0,7575.0,5.0,131.0,2458.0,
2020-11-17,AG,,,408.0,13296.0,,28.0,,450.0,8025.0,4.0,135.0,2484.0,
2020-11-18,AG,,,341.0,13637.0,,29.0,,500.0,8525.0,7.0,142.0,2001.0,
2020-11-19,AG,,,373.0,14010.0,,26.0,,465.0,8990.0,5.0,147.0,2131.0,
2020-11-20,AG,,,454.0,14464.0,,27.0,,405.0,9395.0,5.0,152.0,2267.0,
2020-11-21,AG,,,291.0,14755.0,,,,360.0,9755.0,6.0,158.0,,
2020-11-22,AG,,,90.0,14845.0,,,,135.0,9890.0,4.0,162.0,,
2020-11-23,AG,,,260.0,15105.0,,28.0,,180.0,10070.0,5.0,167.0,2839.0,
2020-11-24,AG,,,431.0,15536.0,,26.0,,445.0,10515.0,9.0,176.0,2849.0,
2020-11-25,AG,,,454.0,15990.0,,24.0,,335.0,10850.0,3.0,179.0,2854.0,
2020-11-26,AG,,,305.0,16295.0,,25.0,,330.0,11180.0,7.0,186.0,2875.0,
2020-11-27,AG,,,339.0,16634.0,,26.0,,335.0,11515.0,3.0,189.0,2860.0,
2020-11-28,AG,,,259.0,16893.0,,,,265.0,11780.0,8.0,197.0,,
2020-11-29,AG,,,122.0,17015.0,,,,105.0,11885.0,5.0,202.0,,
2020-11-30,AG,,,320.0,17335.0,,28.0,,205.0,12090.0,3.0,205.0,2915.0,
2020-12-01,AG,,,405.0,17740.0,,31.0,,420.0,12510.0,4.0,209.0,2450.0,
2020-12-02,AG,,,364.0,18104.0,,30.0,,345.0,12855.0,8.0,217.0,2150.0,
2020-12-03,AG,,,376.0,18480.0,,28.0,,385.0,13240.0,4.0,221.0,2020.0,
2020-12-04,AG,,,379.0,18859.0,,28.0,,455.0,13695.0,4.0,225.0,1998.0,
2020-12-05,AG,,,335.0,19194.0,,,,295.0,13990.0,7.0,232.0,,
2020-12-06,AG,,,125.0,19319.0,,,,90.0,14080.0,7.0,239.0,,
2020-12-07,AG,,,312.0,19631.0,,27.0,,230.0,14310.0,2.0,241.0,1820.0,
2020-12-08,AG,,,469.0,20100.0,,23.0,,415.0,14725.0,7.0,248.0,1805.0,
2020-12-09,AG,,,510.0,20610.0,,25.0,,480.0,15205.0,6.0,254.0,1805.0,
2020-12-10,AG,,,464.0,21074.0,,27.0,,290.0,15495.0,8.0,262.0,1850.0,
2020-12-11,AG,,,415.0,21489.0,,30.0,,340.0,15835.0,8.0,270.0,1950.0,
2020-12-12,AG,,,379.0,21868.0,,,,260.0,16095.0,7.0,277.0,,
2020-12-13,AG,,,198.0,22066.0,,,,120.0,16215.0,5.0,282.0,,
2020-12-14,AG,,,305.0,22371.0,,30.0,,300.0,16515.0,10.0,292.0,2050.0,
2020-12-15,AG,,,568.0,22939.0,,28.0,,410.0,16925.0,11.0,303.0,2000.0,
2020-12-16,AG,,,536.0,23475.0,,31.0,,365.0,17290.0,14.0,317.0,2073.0,
2020-12-17,AG,,,496.0,23971.0,,33.0,,375.0,17665.0,9.0,326.0,2154.0,
2020-12-18,AG,,,452.0,24423.0,,32.0,,375.0,18040.0,8.0,334.0,2025.0,
2020-12-19,AG,,,312.0,24735.0,,,,335.0,18375.0,9.0,343.0,,
2020-12-20,AG,,,175.0,24910.0,,,,125.0,18500.0,14.0,357.0,,
2020-12-21,AG,,,309.0,25219.0,,35.0,,310.0,18810.0,10.0,367.0,2203.0,
2020-12-22,AG,,,575.0,25794.0,,37.0,,455.0,19265.0,12.0,379.0,2150.0,
2020-12-23,AG,,,465.0,26259.0,,36.0,,535.0,19800.0,17.0,396.0,2280.0,
2020-12-24,AG,,,466.0,26725.0,,37.0,,490.0,20290.0,15.0,411.0,2128.0,
2020-12-25,AG,,,156.0,26881.0,,37.0,,415.0,20705.0,4.0,415.0,2100.0,
2020-12-26,AG,,,202.0,27083.0,,,,380.0,21085.0,13.0,428.0,2134.0,
2020-12-27,AG,,,159.0,27242.0,,,,200.0,21285.0,10.0,438.0,,
2020-12-28,AG,,,341.0,27583.0,,36.0,,295.0,21580.0,3.0,441.0,2134.0,
2020-12-29,AG,,,468.0,28051.0,,38.0,,550.0,22130.0,7.0,448.0,1950.0,
